Pagina,Tipo,SS/SN,Proyecto,codigo UCAP,Descripcion UCAP,Colocar,Quitar,Descripcion Normalizada,Fuente,Clave Consolidacion
1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5090209,PUESTA A TIERRA,4,,PUESTA A TIERRA,"Tabla 1 al 331_2026.pdf, pagina 1",5090209
1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200407,"UCAP TRIPLEX AL 2X4+1X4 XLP,AEREO",133,,TRIPLEX AL 2X4+1X4 XLP AEREO,"Tabla 1 al 331_2026.pdf, pagina 1",5200407
1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200418,UCAP POSTE PRFV 18M (ENTERRAR),4,,POSTE PRFV 18M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 1",5200418
1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200403,"PROYEC LED 168W TIPO V MEDIA (MEDIUM ""M"") 5000K",96,,PROYEC LED 168W TIPO V MEDIA MEDIUM M 5000K,"Tabla 1 al 331_2026.pdf, pagina 1",5200403
1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200127,UCAP PROY. 1000W.,,24,PROY 1000W,"Tabla 1 al 331_2026.pdf, pagina 1",5200127
1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200214,UCAP BOMBILLO 1000W,,24,BOMBILLO 1000W,"Tabla 1 al 331_2026.pdf, pagina 1",5200214
1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200304,UCAP POSTE CONCRETO REDONDO 12M,,6,POSTE CONCRETO REDONDO 12M,"Tabla 1 al 331_2026.pdf, pagina 1",5200304
1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,5200409,"UCAP TRIPLEX AL 2X1/0+1X2 XLP,AEREO",,136,TRIPLEX AL 2X1/0+1X2 XLP AEREO,"Tabla 1 al 331_2026.pdf, pagina 1",5200409
1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,,Cruceta 3600 mm,16,,CRUCETA 3600 MM,"Tabla 1 al 331_2026.pdf, pagina 1",SIN CODIGO|CRUCETA 3600 MM
1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,,Cruceta 1500 mm,,12,CRUCETA 1500 MM,"Tabla 1 al 331_2026.pdf, pagina 1",SIN CODIGO|CRUCETA 1500 MM
1,SS,567386,Cancha Arena Cincuentenario CR 53 con CL 73,,Punta captadora Franklin,4,,PUNTA CAPTADORA FRANKLIN,"Tabla 1 al 331_2026.pdf, pagina 1",SIN CODIGO|PUNTA CAPTADORA FRANKLIN
2,SN,1088440,SMAP-CIL-0021-25 CALLE 10 N° 43F 70,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 2",5200270
2,SN,1088440,SMAP-CIL-0021-25 CALLE 10 N° 43F 70,5200231,"BR 1"" - 0.4M - 0°",1,,BR 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 2",5200231
2,SN,1088440,SMAP-CIL-0021-25 CALLE 10 N° 43F 70,5200464,Cable Cu encauchetado 3X14 AWG,15,,CABLE CU ENCAUCHETADO 3X14 AWG,"Tabla 1 al 331_2026.pdf, pagina 2",5200464
2,SN,1088440,SMAP-CIL-0021-25 CALLE 10 N° 43F 70,5200419,Poste PRFV 8m (Enterrar),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 2",5200419
3,SN,1088457,SMAP-CIL-0022-25 CARRERA 43 N° 11 28,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 3",5200270
3,SN,1088457,SMAP-CIL-0022-25 CARRERA 43 N° 11 28,5200231,"BR 1"" - 0.4M - 0°",1,,BR 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 3",5200231
3,SN,1088457,SMAP-CIL-0022-25 CARRERA 43 N° 11 28,5200464,Cable Cu encauchetado 3X14 AWG,12,,CABLE CU ENCAUCHETADO 3X14 AWG,"Tabla 1 al 331_2026.pdf, pagina 3",5200464
4,SS,1111246,Sendero Vereda el Corazón,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 4",5200231
4,SS,1111246,Sendero Vereda el Corazón,5200270,LUM LED (KORELED) 44W,2,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 4",5200270
5,SS,1123301,Sendero Cl 65 A Cr 97 - 143,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 5",5200231
5,SS,1123301,Sendero Cl 65 A Cr 97 - 143,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 5",5200270
5,SS,1123301,Sendero Cl 65 A Cr 97 - 143,5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 5",5200419
5,SS,1123301,Sendero Cl 65 A Cr 97 - 143,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,13,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 5",5200464
6,SS,1128468,Sendero Cr 92 A Cl 78 B - 124,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 6",5200231
6,SS,1128468,Sendero Cr 92 A Cl 78 B - 124,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 6",5200232
6,SS,1128468,Sendero Cr 92 A Cl 78 B - 124,5200270,LUM LED (KORELED) 44W,2,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 6",5200270
7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",3,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 7",5200232
7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200270,LUM LED (KORELED) 44W,3,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 7",5200270
7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200407,"UCAP TRIPLEX AL 2X4+1X4 XLP,AEREO",47,37,TRIPLEX AL 2X4+1X4 XLP AEREO,"Tabla 1 al 331_2026.pdf, pagina 7",5200407
7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 7",5200419
7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200218,UCAP LUMINARIA 150W,,4,LUMINARIA 150W,"Tabla 1 al 331_2026.pdf, pagina 7",5200218
7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200202,UCAP BOMBILLO 150W,,4,BOMBILLO 150W,"Tabla 1 al 331_2026.pdf, pagina 7",5200202
7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200235,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/0°",,4,BRAZO 1 1/2 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 7",5200235
7,SS,1141140,Sendero Cr 44 Entre Cl 45 y 46,5200301,UCAP POSTE CONCRETO REDONDO 9M.,,1,POSTE CONCRETO REDONDO 9M,"Tabla 1 al 331_2026.pdf, pagina 7",5200301
8,SS,1151938,Sendero Cl 81 A Cr 91 A - 9,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",3,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 8",5200231
8,SS,1151938,Sendero Cl 81 A Cr 91 A - 9,5200270,LUM LED (KORELED) 44W,3,2,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 8",5200270
8,SS,1151938,Sendero Cl 81 A Cr 91 A - 9,5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 8",5200419
8,SS,1151938,Sendero Cl 81 A Cr 91 A - 9,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,12,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 8",5200464
8,SS,1151938,Sendero Cl 81 A Cr 91 A - 9,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",,2,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 8",5200232
9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200270,LUM LED (KORELED) 44W,23,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 9",5200270
9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200302,UCAP POSTE CONCRETO CARABOBO 5M,23,,POSTE CONCRETO CARABOBO 5M,"Tabla 1 al 331_2026.pdf, pagina 9",5200302
9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200420,UCAP CABLE 3X8 AWG (ENCAUCHETADO) CANAL EXIST.,8,,CABLE 3X8 AWG ENCAUCHETADO CANAL EXIST,"Tabla 1 al 331_2026.pdf, pagina 9",5200420
9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,138,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 9",5200464
9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200501,UCAP CAJA CONCRETO 50X50 CM,5,,CAJA CONCRETO 50X50 CM,"Tabla 1 al 331_2026.pdf, pagina 9",5200501
9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200238,BRAZO CARABOBO SENCILLO,23,,BRAZO CARABOBO SENCILLO,"Tabla 1 al 331_2026.pdf, pagina 9",5200238
9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5200324,UCAP METÁLICO CIRCULAR 6M (BASE),,25,METALICO CIRCULAR 6M BASE,"Tabla 1 al 331_2026.pdf, pagina 9",5200324
9,SS,1208632,Sendero y Plazoletas Cl 94 A Cr 64 A,5000254,UCAP LUMINARIA LED 50W FIJACIÓN VERTICAL,,4,LUMINARIA LED 50W FIJACION VERTICAL,"Tabla 1 al 331_2026.pdf, pagina 9",5000254
10,SS,1213872,SMAP-CIL-0316-25 CR 52 entre CL 29 y 29A,5020117,UCAP POSTE PRFV 9M (ENTERRAR),2,,POSTE PRFV 9M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 10",5020117
10,SS,1213872,SMAP-CIL-0316-25 CR 52 entre CL 29 y 29A,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",2,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 10",5200232
10,SS,1213872,SMAP-CIL-0316-25 CR 52 entre CL 29 y 29A,5200241,UCAP BRAZO CURVO 3000M,3,,BRAZO CURVO 3000M,"Tabla 1 al 331_2026.pdf, pagina 10",5200241
10,SS,1213872,SMAP-CIL-0316-25 CR 52 entre CL 29 y 29A,5200269,"LUM LED 110,7 (RALED II)",3,,LUM LED 110 7 RALED II,"Tabla 1 al 331_2026.pdf, pagina 10",5200269
10,SS,1213872,SMAP-CIL-0316-25 CR 52 entre CL 29 y 29A,5200293,LUM LED (OMEGA II) 64.5W,2,,LUM LED OMEGA II 64.5W,"Tabla 1 al 331_2026.pdf, pagina 10",5200293
10,SS,1213872,SMAP-CIL-0316-25 CR 52 entre CL 29 y 29A,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,58,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 10",5200464
11,SS,1217034,Sendero Cl 104 Cr 87 - 35 Int 1120,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 11",5200231
11,SS,1217034,Sendero Cl 104 Cr 87 - 35 Int 1120,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 11",5200270
12,SS,1217780,Sendero Cr 49 Cl 63 - 67,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 12",5200231
12,SS,1217780,Sendero Cr 49 Cl 63 - 67,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 12",5200270
13,SS,1221330,SMAP-CIL-0319-25 CR 111 CL 34CC -147,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 13",5200231
13,SS,1221330,SMAP-CIL-0319-25 CR 111 CL 34CC -147,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 13",5200270
14,SS,1221636,Sendero Peatonal CL 34 B CR 118 -132,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",3,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 14",5200231
14,SS,1221636,Sendero Peatonal CL 34 B CR 118 -132,5200270,LUM LED (KORELED) 44W,3,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 14",5200270
15,SS,1224420,Zona Verde Recreacional San Pablo Cl 98 x Cr 34B,5000264,"LUMINARIA LED 62,4W ASIMÉTRICA 4000K HORIZONTAL",3,,LUMINARIA LED 62 4W ASIMETRICA 4000K HORIZONTAL,"Tabla 1 al 331_2026.pdf, pagina 15",5000264
15,SS,1224420,Zona Verde Recreacional San Pablo Cl 98 x Cr 34B,5200271,LUM LED (MAXIMO M) 59.16W,,2,LUM LED MAXIMO M 59.16W,"Tabla 1 al 331_2026.pdf, pagina 15",5200271
15,SS,1224420,Zona Verde Recreacional San Pablo Cl 98 x Cr 34B,5200419,Poste PRFV 8m (Enterrar),2,1,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 15",5200419
15,SS,1224420,Zona Verde Recreacional San Pablo Cl 98 x Cr 34B,5200308,Poste concreto octog 8m,,1,POSTE CONCRETO OCTOG 8M,"Tabla 1 al 331_2026.pdf, pagina 15",5200308
15,SS,1224420,Zona Verde Recreacional San Pablo Cl 98 x Cr 34B,5200232,"BRAZO 1"" - 1.5m - 52°/0°",,2,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 15",5200232
15,SS,1224420,Zona Verde Recreacional San Pablo Cl 98 x Cr 34B,5200235,"BRAZO 1 1/2"" - 1.5M - 52°/0°",3,,BRAZO 1 1/2 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 15",5200235
15,SS,1224420,Zona Verde Recreacional San Pablo Cl 98 x Cr 34B,5200422,CABLE FZA AL 3X6 AWG XLPE 600V 90°C ENTERRADO,19,,CABLE FZA AL 3X6 AWG XLPE 600V 90°C ENTERRADO,"Tabla 1 al 331_2026.pdf, pagina 15",5200422
15,SS,1224420,Zona Verde Recreacional San Pablo Cl 98 x Cr 34B,5200407,"triplex Al 2x4+1x4 xlp,aereo",10,,TRIPLEX AL 2X4+1X4 XLP AEREO,"Tabla 1 al 331_2026.pdf, pagina 15",5200407
15,SS,1224420,Zona Verde Recreacional San Pablo Cl 98 x Cr 34B,,UCAP CAJA CONCRETO DIRECTAMENTE ENT,2,,CAJA CONCRETO DIRECTAMENTE ENT,"Tabla 1 al 331_2026.pdf, pagina 15",SIN CODIGO|CAJA CONCRETO DIRECTAMENTE ENT
15,SS,1224420,Zona Verde Recreacional San Pablo Cl 98 x Cr 34B,,"canal anden tuberia PVC 2""",20,,CANAL ANDEN TUBERIA PVC 2,"Tabla 1 al 331_2026.pdf, pagina 15",SIN CODIGO|CANAL ANDEN TUBERIA PVC 2
15,SS,1224420,Zona Verde Recreacional San Pablo Cl 98 x Cr 34B,,"Tuberia 2"" IMC x 6m, incluye Capacete",1,,TUBERIA 2 IMC X 6M INCLUYE CAPACETE,"Tabla 1 al 331_2026.pdf, pagina 15",SIN CODIGO|TUBERIA 2 IMC X 6M INCLUYE CAPACETE
16,SS,1228328,SMAP-CIL-0343-25 CR 42 CL 5 SUR-141,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 16",5200231
16,SS,1228328,SMAP-CIL-0343-25 CR 42 CL 5 SUR-141,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 16",5200232
16,SS,1228328,SMAP-CIL-0343-25 CR 42 CL 5 SUR-141,5200270,LUM LED (KORELED) 44W,1,2,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 16",5200270
16,SS,1228328,SMAP-CIL-0343-25 CR 42 CL 5 SUR-141,5200271,LUM LED (MAXIMO M) 59.16W,3,,LUM LED MAXIMO M 59.16W,"Tabla 1 al 331_2026.pdf, pagina 16",5200271
16,SS,1228328,SMAP-CIL-0343-25 CR 42 CL 5 SUR-141,5200308,UCAP POSTE CONCRETO OCTOG 8M,1,,POSTE CONCRETO OCTOG 8M,"Tabla 1 al 331_2026.pdf, pagina 16",5200308
16,SS,1228328,SMAP-CIL-0343-25 CR 42 CL 5 SUR-141,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,14,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 16",5200464
17,SS,1229658,Andén CR 39 A CL 18 B SUR -154,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 17",5200231
17,SS,1229658,Andén CR 39 A CL 18 B SUR -154,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 17",5200270
18,SS,1229695,Anden Cl 48 Cr 38 - 29,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 18",5200231
18,SS,1229695,Anden Cl 48 Cr 38 - 29,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 18",5200270
19,SS,1229896,Sendero CR 31B CL 82 - 49,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 19",5200231
19,SS,1229896,Sendero CR 31B CL 82 - 49,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 19",5200270
20,SS,1230992,Sendero Cr 26 H Cl 37 - 40,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 20",5200232
20,SS,1230992,Sendero Cr 26 H Cl 37 - 40,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 20",5200270
20,SS,1230992,Sendero Cr 26 H Cl 37 - 40,5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 20",5200419
20,SS,1230992,Sendero Cr 26 H Cl 37 - 40,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,17,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 20",5200464
21,SS,1231219,Sendero Cr 43 Cl 83 - 61 Int 101,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 21",5200231
21,SS,1231219,Sendero Cr 43 Cl 83 - 61 Int 101,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 21",5200270
22,SS,1232792,Sendero Peatonal-Villa Café CR 89 CL 27-57,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 22",5200231
22,SS,1232792,Sendero Peatonal-Villa Café CR 89 CL 27-57,5200270,LUM LED (KORELED) 44W,2,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 22",5200270
23,SS,1235650,PUENTE PEATONAL CL 45 G # 78 G -84,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 23",5200231
23,SS,1235650,PUENTE PEATONAL CL 45 G # 78 G -84,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 23",5200270
23,SS,1235650,PUENTE PEATONAL CL 45 G # 78 G -84,5200419,UCAP POSTE PRFV 8M (ENTERRAR),1,,POSTE PRFV 8M ENTERRAR,"Tabla 1 al 331_2026.pdf, pagina 23",5200419
23,SS,1235650,PUENTE PEATONAL CL 45 G # 78 G -84,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,15,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 23",5200464
24,SS,1237047,Anden Cl 45 F Cr 76 - 57,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 24",5200231
24,SS,1237047,Anden Cl 45 F Cr 76 - 57,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 24",5200232
24,SS,1237047,Anden Cl 45 F Cr 76 - 57,5200270,LUM LED (KORELED) 44W,2,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 24",5200270
24,SS,1237047,Anden Cl 45 F Cr 76 - 57,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,10,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 24",5200464
25,SS,1238738,Vía M4 Cr 80 AA Cl 37,5200308,UCAP POSTE CONCRETO OCTOG 8M,1,,POSTE CONCRETO OCTOG 8M,"Tabla 1 al 331_2026.pdf, pagina 25",5200308
25,SS,1238738,Vía M4 Cr 80 AA Cl 37,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,12,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 25",5200464
26,SS,1238893,Sendero Cr 42 C Cr 107 - 35,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,1,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 26",5200232
26,SS,1238893,Sendero Cr 42 C Cr 107 - 35,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 26",5200270
26,SS,1238893,Sendero Cr 42 C Cr 107 - 35,5200217,UCAP LUMINARIA 70W,,1,LUMINARIA 70W,"Tabla 1 al 331_2026.pdf, pagina 26",5200217
26,SS,1238893,Sendero Cr 42 C Cr 107 - 35,5200201,UCAP BOMBILLO 70W,,1,BOMBILLO 70W,"Tabla 1 al 331_2026.pdf, pagina 26",5200201
27,SS,1238921,SMAP-0360-25 CL 107 FD CR 27 E - 39 INT 101,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,1,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 27",5200231
27,SS,1238921,SMAP-0360-25 CL 107 FD CR 27 E - 39 INT 101,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tabla 1 al 331_2026.pdf, pagina 27",5200270
27,SS,1238921,SMAP-0360-25 CL 107 FD CR 27 E - 39 INT 101,5200217,UCAP LUMINARIA 70W,,1,LUMINARIA 70W,"Tabla 1 al 331_2026.pdf, pagina 27",5200217
27,SS,1238921,SMAP-0360-25 CL 107 FD CR 27 E - 39 INT 101,5200201,UCAP BOMBILLO 70W,,1,BOMBILLO 70W,"Tabla 1 al 331_2026.pdf, pagina 27",5200201
28,SS,1238934,SMAP-CIL-0362-25 CR 83A CL 32B-47,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 28",5200232
28,SS,1238934,SMAP-CIL-0362-25 CR 83A CL 32B-47,5200293,LUM LED (OMEGA II) 64.5W,1,,LUM LED OMEGA II 64.5W,"Tabla 1 al 331_2026.pdf, pagina 28",5200293
28,SS,1238934,SMAP-CIL-0362-25 CR 83A CL 32B-47,5200308,UCAP POSTE CONCRETO OCTOG 8M,1,,POSTE CONCRETO OCTOG 8M,"Tabla 1 al 331_2026.pdf, pagina 28",5200308
28,SS,1238934,SMAP-CIL-0362-25 CR 83A CL 32B-47,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,9,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 28",5200464
28,SS,1238934,SMAP-CIL-0362-25 CR 83A CL 32B-47,5200217,UCAP LUMINARIA 70W,,1,LUMINARIA 70W,"Tabla 1 al 331_2026.pdf, pagina 28",5200217
28,SS,1238934,SMAP-CIL-0362-25 CR 83A CL 32B-47,5200201,UCAP BOMBILLO 70W,,1,BOMBILLO 70W,"Tabla 1 al 331_2026.pdf, pagina 28",5200201
28,SS,1238934,SMAP-CIL-0362-25 CR 83A CL 32B-47,5200233,"UCAP BRAZO 1"" - 1.5M - 52°/20°",,1,BRAZO 1 - 1.5M - 52°/20°,"Tabla 1 al 331_2026.pdf, pagina 28",5200233
29,SS,1238944,SMAP-CIL-0364-25 Cl 53B 85E-31,5200235,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/0°",1,,BRAZO 1 1/2 - 1.5M - 52°/0°,"Tabla 1 al 331_2026.pdf, pagina 29",5200235
29,SS,1238944,SMAP-CIL-0364-25 Cl 53B 85E-31,5200272,LUM LED (SEPIALED II) 128W,1,,LUM LED SEPIALED II 128W,"Tabla 1 al 331_2026.pdf, pagina 29",5200272
29,SS,1238944,SMAP-CIL-0364-25 Cl 53B 85E-31,5200308,UCAP POSTE CONCRETO OCTOG 8M,1,,POSTE CONCRETO OCTOG 8M,"Tabla 1 al 331_2026.pdf, pagina 29",5200308
29,SS,1238944,SMAP-CIL-0364-25 Cl 53B 85E-31,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,12,,CABLE CU ENCAUCHETADO 3X14 CU,"Tabla 1 al 331_2026.pdf, pagina 29",5200464
29,SS,1238944,SMAP-CIL-0364-25 Cl 53B 85E-31,5200243,UCAP BRAZO RECTO 4500M,,1,BRAZO RECTO 4500M,"Tabla 1 al 331_2026.pdf, pagina 29",5200243
30,SS,1238979,SMAP-CIL-0370-25 CR 92 CC # 15A-07,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tabla 1 al 331_2026.pdf, pagina 30",5200231
