Anio,Pagina,Tipo,SS/SN,Proyecto,codigo UCAP,Descripcion UCAP,Colocar,Quitar,Descripcion Normalizada,Fuente,Clave Consolidacion
2025,116,SS,1191527,"Vía vehicular - San Antonio de Prado 6.190473, -75.667021",5200235,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/0°",2,,BRAZO 1 1/2 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 116",5200235
2025,116,SS,1191527,"Vía vehicular - San Antonio de Prado 6.190473, -75.667021",5200269,"LUM LED 110,7 (RALED II)",2,,LUM LED 110 7 RALED II,"Tablas 1 al 392_2025.pdf, pagina 116",5200269
2025,116,SS,1191527,"Vía vehicular - San Antonio de Prado 6.190473, -75.667021",5200308,UCAP POSTE CONCRETO OCTOG 8M,1,,POSTE CONCRETO OCTOG 8M,"Tablas 1 al 392_2025.pdf, pagina 116",5200308
2025,116,SS,1191527,"Vía vehicular - San Antonio de Prado 6.190473, -75.667021",5200407,"UCAP TRIPLEX AL 2X4+1X4 XLP,AEREO",20,,TRIPLEX AL 2X4+1X4 XLP AEREO,"Tablas 1 al 392_2025.pdf, pagina 116",5200407
2025,117,SS,1195598,SMAP-0263-25 CL 67 CR 48,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",2,,BRAZO 1 - 0.4M - 0°,"Tablas 1 al 392_2025.pdf, pagina 117",5200231
2025,117,SS,1195598,SMAP-0263-25 CL 67 CR 48,5200270,LUM LED (KORELED) 44W,2,,LUM LED KORELED 44W,"Tablas 1 al 392_2025.pdf, pagina 117",5200270
2025,117,SS,1195598,SMAP-0263-25 CL 67 CR 48,5200419,UCAP POSTE PRFV 8M (ENTERRAR),2,,POSTE PRFV 8M ENTERRAR,"Tablas 1 al 392_2025.pdf, pagina 117",5200419
2025,117,SS,1195598,SMAP-0263-25 CL 67 CR 48,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,24,,CABLE CU ENCAUCHETADO 3X14 CU,"Tablas 1 al 392_2025.pdf, pagina 117",5200464
2025,118,SS,1159547,Sendero peatonal-Las independencias Cll 34 DD # 111 B 27,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,1,BRAZO 1 - 0.4M - 0°,"Tablas 1 al 392_2025.pdf, pagina 118",5200231
2025,118,SS,1159547,Sendero peatonal-Las independencias Cll 34 DD # 111 B 27,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tablas 1 al 392_2025.pdf, pagina 118",5200270
