Anio,Pagina,Tipo,SS/SN,Proyecto,codigo UCAP,Descripcion UCAP,Colocar,Quitar,Descripcion Normalizada,Fuente,Clave Consolidacion
2025,67,SS,1169547,SMAP-0179-25 CL 81 CR 67 B,5200217,UCAP LUMINARIA 70W,,4,LUMINARIA 70W,"Tablas 1 al 392_2025.pdf, pagina 67",5200217
2025,67,SS,1169547,SMAP-0179-25 CL 81 CR 67 B,5200201,UCAP BOMBILLO 70W,,4,BOMBILLO 70W,"Tablas 1 al 392_2025.pdf, pagina 67",5200201
2025,67,SS,1169547,SMAP-0179-25 CL 81 CR 67 B,5200233,"UCAP BRAZO 1"" - 1.5M - 52°/20°",,4,BRAZO 1 - 1.5M - 52°/20°,"Tablas 1 al 392_2025.pdf, pagina 67",5200233
2025,68,SS,1169477,SMAP-0181-25 Cr 52 Cl 59 - 19,5200293,LUM LED (OMEGA II) 64.5W,1,,LUM LED OMEGA II 64.5W,"Tablas 1 al 392_2025.pdf, pagina 68",5200293
2025,68,SS,1169477,SMAP-0181-25 Cr 52 Cl 59 - 19,5200218,UCAP LUMINARIA 150W,,1,LUMINARIA 150W,"Tablas 1 al 392_2025.pdf, pagina 68",5200218
2025,68,SS,1169477,SMAP-0181-25 Cr 52 Cl 59 - 19,5200202,UCAP BOMBILLO 150W,,1,BOMBILLO 150W,"Tablas 1 al 392_2025.pdf, pagina 68",5200202
2025,69,SS,1169481,SMAP-0182-25 Cl 99 Cr 72 A - 7,5200235,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/0°",1,,BRAZO 1 1/2 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 69",5200235
2025,69,SS,1169481,SMAP-0182-25 Cl 99 Cr 72 A - 7,5200272,LUM LED (SEPIALED II) 128W,1,,LUM LED SEPIALED II 128W,"Tablas 1 al 392_2025.pdf, pagina 69",5200272
2025,69,SS,1169481,SMAP-0182-25 Cl 99 Cr 72 A - 7,5200218,UCAP LUMINARIA 150W,,1,LUMINARIA 150W,"Tablas 1 al 392_2025.pdf, pagina 69",5200218
2025,69,SS,1169481,SMAP-0182-25 Cl 99 Cr 72 A - 7,5200202,UCAP BOMBILLO 150W,,1,BOMBILLO 150W,"Tablas 1 al 392_2025.pdf, pagina 69",5200202
2025,69,SS,1169481,SMAP-0182-25 Cl 99 Cr 72 A - 7,5200236,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/20°",,1,BRAZO 1 1/2 - 1.5M - 52°/20°,"Tablas 1 al 392_2025.pdf, pagina 69",5200236
2025,70,SS,1169522,SMAP-CIL-0195-25 CR 94 # 36 - 30,5200219,UCAP LUMINARIA 250W,,3,LUMINARIA 250W,"Tablas 1 al 392_2025.pdf, pagina 70",5200219
2025,70,SS,1169522,SMAP-CIL-0195-25 CR 94 # 36 - 30,5200203,UCAP BOMBILLO 250W,,3,BOMBILLO 250W,"Tablas 1 al 392_2025.pdf, pagina 70",5200203
2025,70,SS,1169522,SMAP-CIL-0195-25 CR 94 # 36 - 30,5200243,UCAP BRAZO RECTO 4500M,,3,BRAZO RECTO 4500M,"Tablas 1 al 392_2025.pdf, pagina 70",5200243
2025,71,SS,1169523,SMAP-0194-25 Cr 65 Cl 47 D,5200241,UCAP BRAZO CURVO 3000M,1,1,BRAZO CURVO 3000M,"Tablas 1 al 392_2025.pdf, pagina 71",5200241
2025,71,SS,1169523,SMAP-0194-25 Cr 65 Cl 47 D,5200272,LUM LED (SEPIALED II) 128W,1,,LUM LED SEPIALED II 128W,"Tablas 1 al 392_2025.pdf, pagina 71",5200272
